ID,name,releasedate,Asynchronous Multiplayer,Co-op,Co-op Campaign,Competitive,Local Co-Op,Local Multiplayer,Multiplayer,Online Co-Op,Party-Based RPG,PvE,PvP,Replay Value,Singleplayer,free_to_play,Casual,RPG,Massively_Multiplayer
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,21-Dec-17,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
570,Dota 2,09-Jul-13,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
730,Counter-Strike: Global Offensive,21-Aug-12,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
359550,Tom Clancy's Rainbow Six Siege,01-Dec-15,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1
271590,Grand Theft Auto V,13-Apr-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
238960,Path of Exile,23-Oct-13,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
230410,Warframe,25-Mar-13,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1
440,Team Fortress 2,10-Oct-07,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
252950,Rocket League,07-Jul-15,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0
252490,Rust,08-Feb-18,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
346110,ARK: Survival Evolved,27-Aug-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
4000,Garry's Mod,29-Nov-06,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
8930,Sid Meier's Civilization V,23-Sep-10,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
218620,PAYDAY 2,13-Aug-13,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
227300,Euro Truck Simulator 2,12-Oct-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
107410,Arma 3,12-Sep-13,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
365590,Tom Clancy's The Division,07-Mar-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
433850,H1Z1,28-Feb-18,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
377160,Fallout 4,09-Nov-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
289070,Sid Meier's Civilization VI,20-Oct-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
444090,Paladins,08-May-18,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
105600,Terraria,16-May-11,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
72850,The Elder Scrolls V: Skyrim,10-Nov-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
304930,Unturned,07-Jul-17,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1
476620,Call of Duty: WWII - Multiplayer,02-Nov-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10,Counter-Strike,01-Nov-00,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
504370,Battlerite,08-Nov-17,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
292030,The Witcher 3: Wild Hunt,18-May-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
381210,Dead by Daylight,14-Jun-16,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
236850,Europa Universalis IV,13-Aug-13,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
489830,The Elder Scrolls V: Skyrim Special Edition,27-Oct-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
306130,The Elder Scrolls Online: Tamriel Unlimited,22-May-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
236390,War Thunder,15-Aug-13,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
435150,Divinity: Original Sin 2,14-Sep-17,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
394360,Hearts of Iron IV,06-Jun-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
251570,7 Days to Die,13-Dec-13,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
281990,Stellaris,09-May-16,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
550,Left 4 Dead 2,16-Nov-09,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
594570,Total War: WARHAMMER II,28-Sep-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
221380,Age of Empires II: HD Edition,09-Apr-13,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
363970,Clicker Heroes,13-May-15,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
582660,Black Desert Online,24-May-17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
255710,Cities: Skylines,10-Mar-15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
214950,Total War: ROME II - Emperor Edition,02-Sep-13,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
601510,Yu-Gi-Oh! Duel Links,16-Nov-17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
386360,SMITE,08-Sep-15,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1
294100,RimWorld,17-Oct-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413150,Stardew Valley,26-Feb-16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
582160,Assassin's Creed Origins,26-Oct-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
322330,Don't Starve Together,21-Apr-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
577800,NBA 2K18,14-Sep-17,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
444200,World of Tanks Blitz,09-Nov-16,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
447020,Farming Simulator 17,24-Oct-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
550650,Black Squad,28-Jul-17,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
427520,Factorio,25-Feb-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
49520,Borderlands 2,19-Sep-12,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
291550,Brawlhalla,17-Oct-17,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
48700,Mount & Blade: Warband,31-Mar-10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
374320,DARK SOULS� III,11-Apr-16,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
431960,Wallpaper Engine,16-Nov-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
268500,XCOM 2,04-Feb-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
311290,SpellForce 3,07-Dec-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
240,Counter-Strike: Source,01-Nov-04,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
39210,FINAL FANTASY XIV Online,18-Feb-14,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
203770,Crusader Kings II,14-Feb-12,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
356190,Middle-earth�: Shadow of War�,09-Oct-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
253920,Gorky 17,27-Sep-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
242760,The Forest,30-Apr-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250900,The Binding of Isaac: Rebirth,04-Nov-14,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
227940,Heroes & Generals,18-Oct-16,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
485510,Nioh: Complete Edition,07-Nov-17,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
219990,Grim Dawn,25-Feb-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
698780,Doki Doki Literature Club,06-Oct-17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
259340,Chicken Shoot Gold,01-Nov-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231430,Company of Heroes 2,25-Jun-13,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
291480,Warface,01-Jul-14,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
359320,Elite Dangerous,02-Apr-15,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
386180,Crossout,26-Jul-17,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
364360,Total War: WARHAMMER,24-May-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
22380,Fallout: New Vegas,20-Oct-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
244850,Space Engineers,28-Feb-19,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
325610,Total War: ATTILA,17-Feb-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
304050,Trove,09-Jul-15,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
298610,Ylands,06-Dec-17,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
264710,Subnautica,23-Jan-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
322170,Geometry Dash,22-Dec-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
211820,Starbound,22-Jul-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
242920,Banished,18-Feb-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
627690,Idle Champions of the Forgotten Realms,07-Sep-17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
453480,Shadowverse,27-Oct-16,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
460930,Tom Clancy's Ghost Recon� Wildlands,06-Mar-17,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
373420,Divinity: Original Sin Enhanced Edition,27-Oct-15,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
8500,EVE Online,15-Dec-10,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
220200,Kerbal Space Program,27-Apr-15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
10500,Empire: Total War,04-Mar-09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4700,Medieval II: Total War,15-Nov-06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
221100,DayZ,13-Dec-18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
301520,Robocraft,24-Aug-17,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
239140,Dying Light,26-Jan-15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
232090,Killing Floor 2,18-Nov-16,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
457140,Oxygen Not Included,18-May-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55100,Homefront,14-Mar-11,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
391220,Rise of the Tomb Raider,09-Feb-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
552990,World of Warships,15-Nov-17,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
466240,Deceit,03-Mar-17,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
47890,The Sims(TM) 3,27-Jan-11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
314160,Microsoft Flight Simulator X: Steam Edition,18-Dec-14,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
305620,The Long Dark,01-Aug-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
268910,Cuphead,29-Sep-17,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
628890,NOBUNAGA'S AMBITION: Taishi,29-Nov-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109600,Neverwinter,05-Dec-13,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
612880,Wolfenstein II: The New Colossus,26-Oct-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
738060,Freddy Fazbear's Pizzeria Simulator,04-Dec-17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
270880,American Truck Simulator,02-Feb-16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
592580,PRO EVOLUTION SOCCER 2018,13-Sep-17,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
475150,Titan Quest Anniversary Edition,31-Aug-16,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
620,Portal 2,18-Apr-11,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
555570,Infestation: The New Z,22-Nov-16,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
440900,Conan Exiles,08-May-18,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1
268850,EVGA Precision XOC,16-Jul-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
